Fh [kN],u [mm]
29.56,5.835116685
24.25,5.584425733
20.6,5.239101227
17.54,4.863377226
14.86,4.538405534
12.4,4.198113715
10.44,3.902818296
8.322,3.604497677
6.18,3.303735209
4.1,2.994169916
1.979,2.707837885
-0.08333,2.398622132
-2.077,2.135359778
-3.955,1.870845239
-5.913,1.600191846
-7.864,1.313307042
-9.531,1.018984532
-10.98,0.7190892
-12.06,0.426975806
-13.01,0.146833008
-13.73,-0.148283617
-14.49,-0.420544279
-15.13,-0.721703165
-15.81,-1.002136501
-16.35,-1.281602114
-16.95,-1.566551743
-17.51,-1.846851405
-18.03,-2.112682875
-18.6,-2.398413168
-19.17,-2.674092525
-19.7,-2.947936942
-20.23,-3.223438188
-20.69,-3.497806265
-21.21,-3.777258546
-21.64,-4.048369807
-22.02,-4.318757854
-22.39,-4.589216852
-22.74,-4.85510095
-23.11,-5.121522483
-23.44,-5.388770935
-23.76,-5.663516828
-24.12,-5.930397072
-24.43,-6.188405701
-24.86,-6.463191839
-25.18,-6.744371816
-25.46,-7.003331128
-25.77,-7.281413456
-26.01,-7.576578417
-26.08,-7.86747174
-26.25,-8.166098249
-26.38,-8.467127724
-26.55,-8.759357599
-26.53,-9.070511123
-26.54,-9.360115292
-26.43,-9.641836047
-25.76,-9.808885616
-24.64,-9.795803374
-22.66,-9.546612316
-20.65,-9.2655566
-16.96,-8.94771364
-14.44,-8.65639869
-12.45,-8.357050483
-11.1,-8.062870773
-9.664,-7.7784482
-7.798,-7.488034222
-6.301,-7.199808253
-4.793,-6.917748447
-3.303,-6.624986877
-2.228,-6.348173373
-0.5633,-6.063278012
0.5237,-5.786579408
1.62,-5.526741015
2.639,-5.241310612
3.791,-4.976883969
4.904,-4.690163467
5.784,-4.42485848
6.812,-4.129599478
7.803,-3.850439468
8.826,-3.560322209
9.779,-3.279270212
10.83,-2.991473991
11.8,-2.708351334
12.88,-2.426218438
13.78,-2.120531978
14.93,-1.836582872
15.77,-1.548048784
16.76,-1.257000941
17.6,-0.960478709
18.26,-0.671785629
18.86,-0.381204195
19.62,-0.102391333
20.2,0.179442618
20.81,0.455687865
21.34,0.722173549
22.17,1.014274124
22.67,1.296149883
23.42,1.569018904
24.06,1.854161653
24.63,2.122986419
25.12,2.416208137
25.74,2.710403259
26.32,2.994059932
26.9,3.297442898
27.52,3.598134387
27.93,3.903938347
28.43,4.206210875
28.75,4.528667733
29.14,4.839388446
29.2,5.173614734
29.48,5.474411178
29.5,5.804072302
29.03,5.930047558
24.97,5.925040817
21.73,5.623082022
19.43,5.308113841
16.98,4.971753857
15.27,4.659164616
13.57,4.330913402
12.14,4.019713431
10.6,3.717007219
9.046,3.422251198
7.414,3.118127454
5.708,2.819916277
4.005,2.506397391
2.154,2.206704501
0.3688,1.898963494
-1.357,1.602443665
-3.05,1.348287669
-4.589,1.066625593
-6.237,0.786353536
-7.698,0.479248142
-9.103,0.192031932
-10.18,-0.1153351
-11.09,-0.391229678
-11.87,-0.702606408
-12.46,-0.983291838
-13.14,-1.274236143
-13.74,-1.548841683
-14.32,-1.838302521
-14.95,-2.114101913
-15.55,-2.414063237
-16.17,-2.694717286
-16.87,-2.969443556
-17.32,-3.250786166
-17.74,-3.530219464
-18.25,-3.808524196
-18.59,-4.084434266
-19.05,-4.355245089
-19.5,-4.626687938
-19.97,-4.903656946
-20.39,-5.171587169
-21.07,-5.436371605
-21.22,-5.709282534
-21.72,-5.975713151
-22.15,-6.246319673
-22.55,-6.51274808
-22.91,-6.775161751
-23.2,-7.035662792
-23.53,-7.297465439
-23.89,-7.55985123
-24.14,-7.838954851
-24.45,-8.104007801
-24.79,-8.370541262
-25.03,-8.634902237
-25.35,-8.890775254
-25.64,-9.170960846
-25.75,-9.440598226
-25.23,-9.607640105
-24.86,-9.58986776
-24.24,-9.587890692
-23.12,-9.490647595
-20.3,-9.188591438
-16.98,-8.851750098
-14.4,-8.51668793
-12.56,-8.186324071
-10.98,-7.849654657
-9.5,-7.510787844
-8.08,-7.190593043
-6.716,-6.858380348
-5.329,-6.531681595
-4.024,-6.183826001
-2.695,-5.85013427
-1.686,-5.515448247
-0.5133,-5.191583306
0.5932,-4.877680889
1.815,-4.565323452
3.105,-4.246457448
4.393,-3.914679645
5.734,-3.58938212
6.984,-3.267726986
8.216,-2.931076771
9.224,-2.581936684
10.39,-2.239159333
11.76,-1.903800012
12.86,-1.548794333
13.79,-1.189918622
14.91,-0.843285986
15.79,-0.490978536
16.81,-0.155050431
17.46,0.194840172
18.31,0.542151219
18.87,0.893238389
19.65,1.220252842
20.19,1.573280099
21.03,1.916238353
21.82,2.257843457
22.5,2.591030635
23.31,2.934265685
24.08,3.278541821
24.88,3.620949362
25.51,3.977864313
26.24,4.331283836
26.73,4.710434077
27.35,5.073562911
27.66,5.460290545
28.06,5.841727672
28.36,6.204687237
28.57,6.577122598
28.69,6.946293688
28.7,7.303202171
28.57,7.665430366
27.24,7.704719983
24.63,7.689733452
20.54,7.326839137
17.75,6.914129442
15.57,6.529122975
13.92,6.131251938
12.23,5.753305363
10.79,5.39020951
9.196,5.032555397
7.796,4.663544461
6.374,4.291491454
4.831,3.932506297
3.19,3.570899
1.436,3.215974394
-0.2846,2.867352116
-1.855,2.534986866
-3.449,2.19452987
-4.935,1.879149026
-6.415,1.516193004
-7.923,1.186215136
-9.135,0.822828387
-10.29,0.498512563
-11.05,0.151313897
-11.82,-0.181523168
-12.43,-0.519498588
-13.12,-0.869118677
-13.66,-1.182319573
-14.2,-1.526711565
-14.9,-1.866568919
-15.57,-2.19542975
-16.05,-2.533142448
-16.59,-2.855674237
-16.83,-3.195009778
-17.57,-3.523178861
-18.03,-3.84952352
-18.5,-4.171057048
-18.92,-4.495138832
-19.38,-4.827304032
-19.92,-5.138764443
-20.4,-5.468235127
-20.92,-5.773208377
-21.38,-6.092138821
-21.86,-6.409291967
-22.22,-6.717462804
-22.72,-7.031281876
-23.05,-7.349275278
-23.48,-7.638332777
-23.91,-7.962248524
-24.3,-8.260679623
-24.64,-8.579742082
-24.9,-8.8955586
-25.11,-9.211871254
-25.2,-9.54796717
-25.26,-9.891109527
-25.28,-10.21338903
-25.09,-10.56020211
-24.91,-10.89706014
-24.67,-11.14986413
-22.96,-11.05884709
-20.15,-10.75316515
-16.93,-10.4127155
-14.5,-10.07165918
-12.75,-9.748147669
-11.3,-9.424390663
-10.05,-9.093257196
-8.961,-8.762756143
-7.823,-8.441011117
-6.648,-8.108400952
-5.589,-7.775831692
-4.547,-7.44091817
-3.823,-7.117131308
-2.916,-6.789750523
-2.055,-6.468943339
-0.9924,-6.154564714
-0.0349,-5.835332298
0.7432,-5.5250316
1.451,-5.214930931
2.23,-4.900522512
3.153,-4.599721025
3.896,-4.270192801
4.763,-3.958156751
5.745,-3.636133572
6.819,-3.320383272
7.84,-2.998889287
8.976,-2.686865891
10.1,-2.354125221
11.16,-2.023695424
12.09,-1.682773138
12.84,-1.336422799
13.49,-0.999164484
14.25,-0.659299475
15.08,-0.306778356
15.8,0.022872379
16.39,0.373522209
17.1,0.71475329
17.78,1.058320155
18.22,1.398866087
18.79,1.738981044
19.35,2.095207778
19.87,2.434679131
20.48,2.782996342
20.96,3.1411936
21.67,3.488010051
22.29,3.827428958
22.74,4.20044923
23.25,4.547201981
23.71,4.901669254
24.13,5.266777021
24.63,5.61406619
25.1,5.975207899
25.43,6.342779736
25.85,6.681354434
25.69,7.076341017
25.3,7.422717313
24.55,7.636077886
21.5,7.63662212
18.13,7.30021646
16.01,6.931067958
14.35,6.535163417
12.93,6.157773133
11.75,5.770736623
10.4,5.391097148
9.026,5.039396839
7.333,4.679896339
5.83,4.336493433
4.225,3.999805465
2.616,3.655798416
1.177,3.321784887
-0.1383,2.969930096
-1.39,2.653113577
-2.376,2.32455788
-3.872,2.009048613
-4.985,1.680568618
-6.101,1.359806272
-7.025,1.013770388
-8.073,0.68975755
-8.971,0.355049932
-9.57,0.021705465
-10.26,-0.307588791
-10.98,-0.634270693
-11.64,-0.967692455
-12.14,-1.295563528
-12.75,-1.612843158
-13.39,-1.954250083
-14.03,-2.286907071
-14.52,-2.613959921
-14.93,-2.941054518
-15.36,-3.268063054
-15.75,-3.605302842
-16.12,-3.920739173
-16.45,-4.242943949
-16.93,-4.571094028
-17.33,-4.894639722
-17.76,-5.218369994
-18.17,-5.538437648
-18.55,-5.855213285
-19,-6.169152634
-19.37,-6.481025296
-19.55,-6.802933008
-20.13,-7.116600061
-20.54,-7.421661348
-20.96,-7.736859512
-21.34,-8.046096608
-21.79,-8.35579676
-22.17,-8.656696768
-22.52,-8.968219314
-22.74,-9.261797517
-23.13,-9.581826708
-23.29,-9.887020221
-23.53,-10.19302629
-23.55,-10.5215425
-23.45,-10.79586828
-22.68,-10.7958136
-22.02,-10.79828776
-22.09,-10.69921492
-17.98,-10.33540011
-15.52,-9.964145226
-13.38,-9.58954057
-11.63,-9.208138749
-10.35,-8.823345281
-9.076,-8.452757487
-7.926,-8.076708402
-6.856,-7.700977402
-5.834,-7.33053681
-4.88,-6.952193069
-3.979,-6.583726644
-3.154,-6.205292436
-2.27,-5.835378685
-1.345,-5.472119692
-0.4159,-5.105649296
0.5023,-4.739938053
1.33,-4.400176595
2.308,-4.040598254
3.213,-3.67943576
4.221,-3.318756238
5.061,-2.960303937
6.002,-2.587119201
6.89,-2.227750987
7.755,-1.863823829
8.654,-1.496709275
9.494,-1.117341329
10.38,-0.751764189
11.26,-0.364793744
12.11,0.009748895
12.88,0.394757933
13.58,0.783797096
14.33,1.174387199
15.03,1.565791404
15.76,1.955772619
16.51,2.347213811
17.19,2.739521009
17.92,3.131266869
18.75,3.518726228
19.44,3.916880866
20.25,4.302065187
20.84,4.702989809
21.45,5.103775174
21.98,5.513149108
22.28,5.945053248
22.78,6.353736545
23.07,6.790693228
23.38,7.19867514
23.51,7.623579314
23.75,8.026899661
23.69,8.426691364
23.76,8.806646967
23.9,9.210555415
17.82,9.199082318
14.15,8.758516019
11.75,8.269631251
9.944,7.861216584
8.266,7.464160949
6.834,7.061410836
5.369,6.670210421
4.218,6.276753077
2.971,5.895947579
1.817,5.49225891
0.8891,5.109598581
-0.1846,4.734737469
-1.179,4.361037805
-2.274,3.991523903
-3.157,3.620869977
-4.136,3.252172469
-5.019,2.888822904
-5.877,2.507751772
-6.644,2.135549262
-7.383,1.751784062
-8.009,1.381675754
-8.676,1.007070502
-9.258,0.633804225
-9.841,0.257678631
-10.42,-0.115623221
-10.9,-0.484940173
-11.49,-0.858706596
-12.02,-1.228250554
-12.49,-1.607305808
-13.01,-1.970240922
-13.37,-2.345060773
-13.8,-2.732112484
-14.38,-3.088311141
-14.84,-3.460994036
-15.41,-3.832386685
-15.91,-4.190663306
-16.38,-4.561391209
-16.88,-4.92481376
-17.35,-5.294413544
-17.87,-5.660648351
-18.29,-6.012221229
-18.78,-6.380477751
-19.18,-6.732914567
-19.53,-7.094898259
-19.89,-7.448764701
-20.26,-7.797369314
-20.59,-8.16012888
-20.97,-8.530317925
-21.19,-8.877330252
-21.39,-9.239261342
-21.6,-9.593627072
-21.74,-9.96871688
-21.97,-10.32969027
-22.12,-10.70088413
-22.21,-11.06730886
-22.14,-11.44246288
-22.01,-11.8188346
-21.67,-12.18784639
-20.51,-12.17453353
-17.43,-11.81261059
-15.19,-11.45482291
-13.49,-11.09300442
-11.93,-10.72144111
-10.63,-10.36190759
-9.492,-9.991312842
-8.425,-9.626474383
-7.514,-9.268845369
-6.624,-8.90266331
-5.829,-8.53200511
-5.039,-8.173670889
-4.345,-7.805826617
-3.671,-7.437966587
-2.966,-7.081719842
-2.346,-6.717603848
-1.722,-6.357512731
-1.143,-5.988773822
-0.5443,-5.623675439
0.05755,-5.269058288
0.6688,-4.915774297
1.351,-4.559830878
2.03,-4.20502709
2.759,-3.840000582
3.465,-3.480544223
4.125,-3.125357873
4.892,-2.763259413
5.489,-2.399272732
6.222,-2.028712187
6.901,-1.666676663
7.588,-1.303545051
8.297,-0.937801223
9.067,-0.567644848
9.866,-0.195761171
10.49,0.174631258
11.31,0.549000775
11.94,0.930062338
12.64,1.304711542
13.19,1.687023514
13.79,2.067899842
14.26,2.449053671
14.78,2.839513025
15.41,3.216488471
15.91,3.604185782
16.38,3.990981785
17.01,4.377456651
17.51,4.762539852
18.08,5.14920487
18.51,5.527646991
18.99,5.915052021
19.36,6.311592905
19.82,6.693974407
20.13,7.090527974
20.5,7.466981264
20.63,7.858145001
20.75,8.243427529
20.91,8.608534141
20.94,8.996344755
20.11,9.084541405
15.5,9.041624763
12.28,8.665073786
10.16,8.277282777
8.642,7.884546227
7.346,7.495871573
6.318,7.11881073
5.244,6.723940057
4.32,6.345144453
3.358,5.967720745
2.562,5.599832981
1.646,5.219250536
0.919,4.853659991
0.075,4.481156517
-0.6133,4.122032118
-1.346,3.753444364
-2.004,3.39271435
-2.696,3.03213317
-3.162,2.674549189
-3.748,2.323722764
-4.384,1.957582915
-4.996,1.589078583
-5.545,1.228381086
-6.074,0.854109264
-6.528,0.489238108
-7.042,0.132427766
-7.499,-0.227611461
-8.001,-0.602542234
-8.501,-0.965758798
-8.899,-1.337185222
-9.298,-1.695346303
-9.766,-2.062454886
-10.29,-2.424467027
-10.77,-2.784442708
-11.26,-3.151366099
-11.7,-3.505656864
-12.15,-3.871496957
-12.64,-4.236728921
-13.07,-4.594350171
-13.53,-4.959390729
-14.05,-5.324335573
-14.49,-5.682819972
-14.88,-6.038651203
-15.34,-6.405990094
-15.81,-6.760689108
-16.22,-7.119960091
-16.55,-7.477005633
-17.04,-7.840074041
-17.4,-8.19576839
-17.78,-8.534944726
-18.13,-8.904994609
-18.38,-9.271332008
-18.78,-9.621642371
-19.04,-10.00036925
-19.23,-10.36212228
-19.38,-10.74134236
-19.53,-11.10939617
-19.64,-11.48368685
-19.36,-11.85245388
-13.96,-11.27240744
-12.03,-10.86920528
-10.52,-10.47048707
-9.254,-10.06328155
-8.19,-9.653739037
-7.132,-9.245389629
-6.201,-8.839146078
-5.281,-8.430673163
-4.486,-8.010340606
-3.791,-7.603127382
-3.122,-7.190331323
-2.45,-6.774747623
-1.803,-6.378754537
-1.217,-5.965796369
-0.5836,-5.558219638
0.03047,-5.141923811
0.693,-4.742758583
1.288,-4.340273977
1.896,-3.935965589
2.505,-3.530023967
3.086,-3.123471351
3.727,-2.715212059
4.376,-2.300283685
5.064,-1.8901946
5.697,-1.47352077
6.371,-1.068288462
7.122,-0.645182821
7.862,-0.232953179
8.624,0.185178063
9.364,0.589479956
10.11,1.019116229
10.85,1.447957578
11.63,1.869850255
12.41,2.306303377
12.74,2.737242879
13.4,3.178496623
14.13,3.620729982
14.73,4.061359155
15.37,4.495695731
15.93,4.94290393
16.57,5.381131004
16.96,5.832426852
17.41,6.264000971
17.79,6.711867746
18,7.162605414
18.4,7.604792639
18.64,8.058745953
18.57,8.514726053
18.81,8.965607304
19.03,9.414350516
19.12,9.867176673
19.13,10.30335214
19.22,10.75117574
19.19,11.18199201
19.13,11.62300749
19.21,12.06370264
19.18,12.45624743
18.3,12.44364546
17.62,12.44405384
17.14,12.44484919
12.25,12.21308707
9.909,11.77129445
8.286,11.32210685
7.002,10.87858944
5.882,10.43388529
4.811,9.990830986
3.776,9.554062706
3.06,9.123971518
2.069,8.693321112
1.216,8.271679545
0.3518,7.848752428
-0.325,7.428029272
-1.105,7.010546023
-1.807,6.597298326
-2.527,6.176696391
-3.093,5.761038539
-3.652,5.348499674
-4.197,4.93828922
-4.691,4.515764112
-5.187,4.105352517
-5.627,3.681558035
-6.084,3.261347183
-6.522,2.842908551
-6.829,2.418855483
-7.256,2.011333918
-7.576,1.594409716
-8.03,1.175469966
-8.439,0.756870265
-8.859,0.347077262
-9.229,-0.078758257
-9.659,-0.479842014
-10.04,-0.898241342
-10.45,-1.313829504
-10.82,-1.728444729
-11.19,-2.144117319
-11.66,-2.548202226
-12.12,-2.964758576
-12.53,-3.387491674
-13,-3.791169283
-13.37,-4.211688267
-13.79,-4.61860192
-14.16,-5.030776256
-14.6,-5.446764029
-14.99,-5.858960506
-15.39,-6.268024578
-15.74,-6.68625376
-16.16,-7.095164255
-16.59,-7.502728575
-16.96,-7.921663207
-17.32,-8.323497375
-17.58,-8.744527918
-17.71,-9.162531358
-17.46,-9.599103951
-17.43,-10.03937851
-17.47,-10.48463217
-17.43,-10.91507227
-17.37,-11.35179585
-17.4,-11.79912384
-17.47,-12.23719489
-17.63,-12.66615236
-17.67,-13.09164773
-17.63,-13.52008371
-17.61,-13.95643262
-17.52,-14.39385042
-17.53,-14.81775489
-16.4,-15.05907463
-16.63,-15.04924747
-15.24,-14.80910604
-12.28,-14.4102348
-10.55,-14.01040289
-9.265,-13.60552246
-8.148,-13.18686544
-7.243,-12.78101112
-6.393,-12.37542958
-5.659,-11.95246568
-5.057,-11.53615999
-4.492,-11.11546144
-3.924,-10.69289704
-3.404,-10.27760979
-2.881,-9.864356503
-2.315,-9.448240924
-1.801,-9.03103124
-1.333,-8.61986771
-0.8294,-8.201345621
-0.3745,-7.781504346
0.05599,-7.364585643
0.4898,-6.957345905
0.8703,-6.545542242
1.259,-6.138619914
1.449,-5.716818888
1.756,-5.310502486
2.247,-4.899221312
2.569,-4.478194921
2.862,-4.066377207
3.339,-3.659775212
3.715,-3.235626566
4.158,-2.826075205
4.567,-2.407782208
4.99,-1.998489911
5.392,-1.583147873
5.823,-1.163860058
6.37,-0.745315152
6.83,-0.325497548
7.114,0.098877249
7.641,0.51405629
8.065,0.941913572
8.642,1.360678115
9.069,1.788727152
9.668,2.207015025
10.05,2.633820857
10.41,3.058520387
10.92,3.479436192
11.27,3.912797983
11.74,4.343852979
11.99,4.767515866
12.28,5.197713277
12.47,5.633436709
12.83,6.068958938
13.03,6.486777165
13.38,6.906664475
13.63,7.337751613
13.92,7.764718553
14.1,8.194856567
14.36,8.625430447
14.38,9.068550069
14.56,9.507374593
14.71,9.928670251
14.79,10.36645054
14.88,10.79261915
15.08,11.22344153
15.02,11.66116325
15.22,12.09141232
15.17,12.52781089
14.85,12.59245567
13.56,12.58858329
10.15,12.57866174
7.99,12.13096943
6.38,11.7014413
5.161,11.28132538
4.114,10.85376503
3.236,10.43062843
2.409,9.996275549
1.693,9.581269544
1.02,9.158689503
0.3563,8.741862094
-0.2508,8.328748824
-0.794,7.913789124
-1.237,7.498292339
-1.677,7.08854281
-2.073,6.672080668
-2.426,6.257674591
-2.704,5.843471185
-3.011,5.424087492
-3.348,5.01926031
-3.584,4.6023577
-3.815,4.193050612
-4.05,3.780797716
-4.349,3.361819122
-4.607,2.944259095
-4.92,2.524333246
-5.211,2.12511551
-5.523,1.702860499
-5.809,1.285414997
-6.042,0.862655934
-6.388,0.452353198
-6.691,0.036552909
-7.051,-0.372177948
-7.32,-0.795516035
-7.637,-1.22015698
-7.886,-1.626286027
-8.156,-2.042201319
-8.45,-2.451168698
-8.805,-2.880982979
-9.099,-3.295064668
-9.437,-3.716844962
-9.767,-4.127150831
-10.1,-4.542099155
-10.45,-4.954842253
-10.78,-5.364533524
-11.2,-5.786088957
-11.56,-6.197028185
-11.93,-6.616089521
-12.32,-7.022847287
-12.6,-7.427566525
-13.05,-7.852188073
-13.34,-8.267582982
-13.65,-8.669862167
-13.92,-9.081393456
-14.23,-9.498269233
-14.54,-9.914054439
-14.83,-10.32826747
-15.11,-10.73526905
-15.39,-11.16163603
-15.44,-11.57627149
-15.57,-12.00363881
-15.76,-12.42585223
-15.74,-12.8447222
-15.74,-13.27547888
-15.65,-13.6948861
-15.51,-14.13549769
-15.19,-14.57062115
-14.45,-14.88741262
-13.65,-14.90762723
-11.15,-14.39929255
-8.165,-13.89336975
-6.621,-13.38798975
-5.436,-12.88075959
-4.498,-12.37373337
-3.841,-11.86352581
-3.002,-11.35027109
-2.333,-10.82415136
-1.847,-10.3253178
-1.201,-9.805964373
-0.7828,-9.292422298
-0.2531,-8.771664367
0.0599,-8.260358435
0.4174,-7.747636316
0.701,-7.239604903
0.9974,-6.719389111
1.231,-6.20198811
1.537,-5.698550471
1.746,-5.18356457
2.032,-4.654098495
2.231,-4.144366953
2.414,-3.629738631
2.747,-3.115015766
3.138,-2.598841286
3.371,-2.076208691
3.837,-1.564179522
4.078,-1.050217355
4.462,-0.525465779
4.996,-0.011826927
5.271,0.512849535
5.698,1.027292552
6.138,1.548203843
6.65,2.058631758
7.234,2.58919308
7.754,3.107263661
8.248,3.618358529
8.716,4.147011468
9.081,4.670762377
9.523,5.203655732
9.745,5.726744657
10.27,6.251507309
10.5,6.777886584
10.94,7.304021146
11.29,7.835058386
11.72,8.356319197
11.98,8.87335123
12.28,9.395549015
12.56,9.920900651
12.91,10.44895297
13.07,10.97515473
13.26,11.5147353
13.33,12.05303829
13.4,12.57863224
13.5,13.10661644
13.53,13.64081468
13.57,14.16398466
13.59,14.68229688
13.6,15.21311628
13.31,15.71440524
12.23,15.80332587
10.5,15.79928592
7.065,15.57813385
5.254,15.0634413
3.93,14.54956284
2.9,14.02972476
2.013,13.50762063
1.302,12.98243648
0.6617,12.46080274
0.1411,11.94499091
-0.3591,11.41594982
-0.7255,10.89664694
-1.062,10.37612914
-1.415,9.867994506
-1.65,9.354282438
-1.879,8.829466628
-2.105,8.313437632
-2.309,7.806980113
-2.555,7.279786511
-2.822,6.762287957
-3.047,6.239402287
-3.283,5.72181966
-3.474,5.208231739
-3.705,4.68923654
-3.949,4.18493224
-4.263,3.660448536
-4.478,3.147343844
-4.83,2.625413312
-5.041,2.128427268
-5.352,1.592126298
-5.664,1.084075636
-5.913,0.55345018
-6.272,0.047639706
-6.534,-0.463962089
-6.852,-0.986366824
-7.235,-1.503095617
-7.596,-2.022918087
-8.002,-2.540348872
-8.402,-3.062914248
-8.742,-3.584243404
-9.109,-4.090032052
-9.455,-4.612555155
-9.834,-5.13936048
-10.12,-5.646158062
-10.38,-6.178264625
-10.68,-6.702054112
-10.94,-7.228245242
-11.14,-7.75410382
-11.29,-8.283127962
-11.47,-8.813480832
-11.61,-9.332215336
-11.7,-9.871329006
-11.6,-10.400645
-11.68,-10.93915884
-11.8,-11.48157492
-11.83,-12.02110045
-12.02,-12.56264681
-12.06,-13.08616022
-12.19,-13.64055034
-12.45,-14.18640235
-12.5,-14.70307504
-12.4,-15.24117168
-12.04,-15.78632299
-12.21,-16.33112306
-12.19,-16.86184308
-12.37,-17.40750212
-12.47,-17.93986953
-12.25,-18.47446994
-11.6,-18.80690618
-10.37,-18.27709012
-6.954,-17.78491158
-5.435,-17.27395724
-4.322,-16.76837009
-3.495,-16.25741344
-2.837,-15.74208355
-2.273,-15.22743087
-1.785,-14.72547028
-1.383,-14.21742606
-1.021,-13.69636768
-0.7169,-13.18465789
-0.3807,-12.67096266
-0.1169,-12.15846316
0.1242,-11.64564974
0.212,-11.12971043
0.3852,-10.62361257
0.5695,-10.10567875
0.7581,-9.599410732
0.9818,-9.088526723
1.132,-8.570100481
1.277,-8.064594172
1.461,-7.544474515
1.625,-7.037039641
1.717,-6.520184185
1.876,-6.002109052
2.067,-5.483904116
2.178,-4.970673689
2.338,-4.451418583
2.552,-3.9337309
2.731,-3.427104564
2.929,-2.907883549
3.104,-2.400335761
3.389,-1.878488656
3.51,-1.360726965
3.814,-0.837324405
4.053,-0.329101003
4.38,0.186536495
4.677,0.693860467
4.952,1.220774555
5.229,1.740621906
5.606,2.251738512
5.895,2.766524627
6.257,3.28051616
6.578,3.793600663
6.806,4.313864804
7.205,4.827133296
7.467,5.349702029
7.735,5.856358344
8.027,6.376918763
8.236,6.906577135
8.428,7.411226272
8.601,7.936515817
8.746,8.445673072
9,8.964038773
8.993,9.477218311
9.293,9.995022081
9.421,10.52388851
9.561,11.03110768
9.652,11.54382016
9.746,12.0709488
9.851,12.58594201
9.984,13.10934556
9.983,13.62233567
10.15,14.13908252
10.22,14.65334836
10.23,15.14362539
6.65,15.11456353
4.597,15.00675197
3.358,14.49376923
2.493,13.98451964
1.761,13.47080208
1.195,12.95318845
0.6586,12.4550392
0.2479,11.93321838
-0.05807,11.42201689
-0.426,10.89009621
-0.6297,10.37656273
-0.9177,9.862733625
-1.112,9.339821986
-1.315,8.834355619
-1.548,8.310357271
-1.698,7.798251742
-1.865,7.271916328
-2.062,6.751743633
-2.217,6.224724805
-2.389,5.71958417
-2.603,5.190523878
-2.968,4.151332177
-3.159,3.634292282
-3.358,3.116294599
-3.561,2.607537654
-3.796,2.081342194
-3.98,1.56531193
-4.192,1.039963579
-4.427,0.513770857
-4.668,0.008829144
-4.861,-0.513328319
-5.049,-1.039561987
-5.311,-1.56399938
-5.551,-2.087280629
-5.767,-2.603320425
-5.981,-3.126586368
-6.186,-3.663442993
-6.501,-4.174261264
-6.737,-4.699288032
-6.952,-5.22703262
-7.145,-5.745708061
-7.226,-6.265705958
-7.47,-6.793139237
-7.674,-7.307647472
-7.873,-7.827789438
-8.017,-8.357755563
-8.169,-8.86827929
-8.312,-9.401480615
-8.44,-9.916376179
-8.511,-10.45083348
-8.552,-10.98005295
-8.649,-11.51300182
-8.621,-12.05224755
-8.77,-12.59302157
-8.758,-13.14654639
-8.794,-13.67381069
-8.88,-14.21796333
-8.814,-14.75983609
-8.637,-15.31131771
-8.253,-15.88392663
-7.988,-16.50153835
-7.56,-17.14936125
-6.817,-17.82487457
-5.369,-18.67984846
-4.134,-20.32499122
-3.323,-21.43048256
-3.885,-21.49384797
