load_step_names,image_names,imag,Fh [kN],u [mm],,,,,,验证（观察前面的阶段变化，每次名称转化即意味着时间转换（加载阶段））,
RS5_LS01_to_LS02,LS01_to_LS02_RS5_0000,LS01,0,0,,存在,0,0,0,TRUE,0
RS5_LS01_to_LS02,LS01_to_LS02_RS5_0013,LS01,8.991,0.331425418,,存在,13,0,0,TRUE,13
RS5_LS02_to_LS03,LS02_to_LS03_RS5_0008,LS02,-0.04531,0.149045373,,存在,8,13,13,TRUE,21
RS5_LS02_to_LS03,LS02_to_LS03_RS5_0024,LS02,-11.01,-0.334035281,,存在,24,13,13,TRUE,37
RS5_LS03_to_LS04,LS03_to_LS04_RS5_0012,LS03,-0.09323,-0.072300554,,存在,12,37,37,TRUE,49
RS5_LS03_to_LS04,LS03_to_LS04_RS5_0026,LS03,10.2,0.317711929,,存在,26,37,37,TRUE,63
RS5_LS04_to_LS05,LS04_to_LS05_RS5_0010,LS04,0.2583,0.067227454,,存在,10,63,63,TRUE,73
RS5_LS04_to_LS05,LS04_to_LS05_RS5_0024,LS04,-11.08,-0.328751909,,存在,24,63,63,TRUE,87
RS5_LS05_to_LS06,LS05_to_LS06_RS5_0010,LS05,-0.1659,-0.065469872,,存在,10,87,87,TRUE,97
RS5_LS05_to_LS06,LS05_to_LS06_RS5_0034,LS05,15.55,0.672165121,,存在,34,87,87,TRUE,121
RS5_LS06_to_LS07,LS06_to_LS07_RS5_0018,LS06,0.03698,0.130334832,,存在,18,121,121,TRUE,139
RS5_LS06_to_LS07,LS06_to_LS07_RS5_0043,LS06,-17.45,-0.647637951,,存在,43,121,121,TRUE,164
RS5_LS07_to_LS08,LS07_to_LS08_RS5_0019,LS07,0.3372,-0.095237849,,存在,19,164,164,TRUE,183
RS5_LS07_to_LS08,LS07_to_LS08_RS5_0043,LS07,15.82,0.666423574,,存在,43,164,164,TRUE,207
RS5_LS08_to_LS09,LS08_to_LS09_RS5_0019,LS08,-0.2224,0.080056362,,存在,19,207,207,TRUE,226
RS5_LS08_to_LS09,LS08_to_LS09_RS5_0043,LS08,-17.45,-0.657642658,,存在,43,207,207,TRUE,250
RS5_LS09_to_LS10,LS09_to_LS10_RS5_0019,LS09,0.2438,-0.091738208,,存在,19,250,250,TRUE,269
RS5_LS09_to_LS10,LS09_to_LS10_RS5_0062,LS09,24.68,1.354237127,,存在,62,250,250,TRUE,312
RS5_LS09_to_LS10,LS09_to_LS10_RS5_0063,LS09,24.6,1.361725967,,存在,63,250,250,TRUE,313
RS5_LS10_to_LS11,LS10_to_LS11_RS5_0035,LS10,-0.01406,0.218505379,,存在,35,313,313,TRUE,348
RS5_LS10_to_LS11,LS10_to_LS11_RS5_0080,LS10,-26.16,-1.291806146,,存在,80,313,313,TRUE,393
RS5_LS11_to_LS12,LS11_to_LS12_RS5_0035,LS11,0.2674,-0.178074565,,存在,35,393,393,TRUE,428
RS5_LS11_to_LS12,LS11_to_LS12_RS5_0080,LS11,24.99,1.336260819,,存在,80,393,393,TRUE,473
RS5_LS12_to_LS13,LS12_to_LS13_RS5_0035,LS12,0.275,0.167065048,,存在,35,473,473,TRUE,508
RS5_LS12_to_LS13,LS12_to_LS13_RS5_0080,LS12,-26.24,-1.331623162,,存在,80,473,473,TRUE,553
RS5_LS13_to_LS14,LS13_to_LS14_RS5_0020,LS13,-0.1349,-0.188573187,,存在,20,553,553,TRUE,573
RS5_LS13_to_LS14,LS13_to_LS14_RS5_0052,LS13,32.05,2.013803253,,存在,52,553,553,TRUE,605
RS5_LS14_to_LS15,LS14_to_LS15_RS5_0026,LS14,0.2938,0.280465491,,存在,26,605,605,TRUE,631
RS5_LS14_to_LS15,LS14_to_LS15_RS5_0058,LS14,-31.56,-1.964927991,,存在,58,605,605,TRUE,663
RS5_LS15_to_LS16,LS15_to_LS16_RS5_0025,LS15,-0.3523,-0.310283231,,存在,25,663,663,TRUE,688
RS5_LS15_to_LS16,LS15_to_LS16_RS5_0058,LS15,31.9,2.008985646,,存在,58,663,663,TRUE,721
RS5_LS16_to_LS17,LS16_to_LS17_RS5_0028,LS16,-0.4977,0.178044401,,存在,28,721,721,TRUE,749
RS5_LS16_to_LS17,LS16_to_LS17_RS5_0059,LS16,-31.31,-1.992380903,,存在,59,721,721,TRUE,780
RS5_LS17_to_LS18,LS17_to_LS18_RS5_0027,LS17,0.5544,-0.251132778,,存在,27,780,780,TRUE,807
RS5_LS17_to_LS18,LS17_to_LS18_RS5_0068,LS17,37.23,2.674384428,,存在,68,780,780,TRUE,848
RS5_LS18_to_LS19,LS18_to_LS19_RS5_0034,LS18,-0.2732,0.28948235,,存在,34,848,848,TRUE,882
RS5_LS18_to_LS19,LS18_to_LS19_RS5_0074,LS18,-35.01,-2.585724506,,存在,74,848,848,TRUE,922
RS5_LS18_to_LS19,LS18_to_LS19_RS5_0075,LS18,-35.01,-2.662388035,,存在,75,848,848,TRUE,923
RS5_LS19_to_LS20,LS19_to_LS20_RS5_0032,LS19,-0.4542,-0.458762096,,存在,32,923,923,TRUE,955
RS5_LS19_to_LS20,LS19_to_LS20_RS5_0076,LS19,36.6,2.681831905,,存在,76,923,923,TRUE,999
RS5_LS20_to_LS21,LS20_to_LS21_RS5_0034,LS20,0.1784,0.295557235,,存在,34,999,999,TRUE,1033
RS5_LS20_to_LS21,LS20_to_LS21_RS5_0075,LS20,-34.9,-2.656734897,,存在,75,999,999,TRUE,1074
RS5_LS21_to_LS22,LS21_to_LS22_RS5_0025,LS21,-0.4497,-0.404868498,,存在,25,1074,1074,TRUE,1099
RS5_LS21_to_LS22,LS21_to_LS22_RS5_0059,LS21,40.13,3.318846512,,存在,59,1074,1074,TRUE,1133
RS5_LS21_to_LS22,LS21_to_LS22_RS5_0060,LS21,40.04,3.382781702,,存在,60,1074,1074,TRUE,1134
RS5_LS22_to_LS23,LS22_to_LS23_RS5_0028,LS22,-0.2102,0.429624841,,存在,28,1134,1134,TRUE,1162
RS5_LS22_to_LS23,LS22_to_LS23_RS5_0061,LS22,-37.06,-3.216261053,,存在,61,1134,1134,TRUE,1195
RS5_LS22_to_LS23,LS22_to_LS23_RS5_0062,LS22,-37.04,-3.33315832,,存在,62,1134,1134,TRUE,1196
RS5_LS23_to_LS24,LS23_to_LS24_RS5_0027,LS23,0.6107,-0.416616071,,存在,27,1196,1196,TRUE,1223
RS5_LS23_to_LS24,LS23_to_LS24_RS5_0061,LS23,39.47,3.323405296,,存在,61,1196,1196,TRUE,1257
RS5_LS24_to_LS25,LS24_to_LS25_RS5_0028,LS24,0.3086,0.381195199,,存在,28,1257,1257,TRUE,1285
RS5_LS24_to_LS25,LS24_to_LS25_RS5_0062,LS24,-36.71,-3.329577869,,存在,62,1257,1257,TRUE,1319
RS5_LS24_to_LS25,LS24_to_LS25_RS5_0063,LS24,-36.27,-3.343578157,,存在,63,1257,1257,TRUE,1320
RS5_LS25_to_LS26,LS25_to_LS26_RS5_0021,LS25,-0.2172,-0.45628179,,存在,21,1320,1320,TRUE,1341
RS5_LS25_to_LS26,LS25_to_LS26_RS5_0051,LS25,41.88,3.998556204,,存在,51,1320,1320,TRUE,1371
RS5_LS25_to_LS26,LS25_to_LS26_RS5_0052,LS25,41.62,4.053155725,,存在,52,1320,1320,TRUE,1372
RS5_LS26_to_LS27,LS26_to_LS27_RS5_0025,LS26,0.2505,0.491776011,,存在,25,1372,1372,TRUE,1397
RS5_LS26_to_LS27,LS26_to_LS27_RS5_0055,LS26,-38.7,-3.986174839,,存在,55,1372,1372,TRUE,1427
RS5_LS27_to_LS28,LS27_to_LS28_RS5_0025,LS27,-0.3424,-0.439276977,,存在,25,1427,1427,TRUE,1452
RS5_LS27_to_LS28,LS27_to_LS28_RS5_0055,LS27,40.93,4.01787514,,存在,55,1427,1427,TRUE,1482
RS5_LS27_to_LS28,LS27_to_LS28_RS5_0056,LS27,41.2,4.012357988,,存在,56,1427,1427,TRUE,1483
RS5_LS28_to_LS29,LS28_to_LS29_RS5_0025,LS28,-0.4344,0.408247544,,存在,25,1483,1483,TRUE,1508
RS5_LS28_to_LS29,LS28_to_LS29_RS5_0054,LS28,-37.56,-3.931417587,,存在,54,1483,1483,TRUE,1537
RS5_LS29_to_LS30,LS29_to_LS30_RS5_0020,LS29,1.165,-0.404312209,,存在,20,1537,1537,TRUE,1557
RS5_LS29_to_LS30,LS29_to_LS30_RS5_0050,LS29,43.6,5.298553982,,存在,50,1537,1537,TRUE,1587
RS5_LS30_to_LS31,LS30_to_LS31_RS5_0025,LS30,0.6643,0.645263927,,存在,25,1587,1587,TRUE,1612
RS5_LS30_to_LS31,LS30_to_LS31_RS5_0056,LS30,-39.96,-5.269574053,,存在,56,1587,1587,TRUE,1643
RS5_LS31_to_LS32,LS31_to_LS32_RS5_0027,LS31,0.9604,-0.463578445,,存在,27,1643,1643,TRUE,1670
RS5_LS31_to_LS32,LS31_to_LS32_RS5_0057,LS31,42.82,5.240044328,,存在,57,1643,1643,TRUE,1700
RS5_LS32_to_LS33,LS32_to_LS33_RS5_0026,LS32,-0.7182,0.52030505,,存在,26,1700,1700,TRUE,1726
RS5_LS32_to_LS33,LS32_to_LS33_RS5_0056,LS32,-39.23,-5.222066063,,存在,56,1700,1700,TRUE,1756
RS5_LS33_to_LS34,LS33_to_LS34_RS5_0024,LS33,0.5833,-0.527996526,,存在,24,1756,1756,TRUE,1780
RS5_LS33_to_LS34,LS33_to_LS34_RS5_0055,LS33,44.28,6.64578952,,存在,55,1756,1756,TRUE,1811
RS5_LS34_to_LS35,LS34_to_LS35_RS5_0028,LS34,-0.251,0.732260744,,存在,28,1811,1811,TRUE,1839
RS5_LS34_to_LS35,LS34_to_LS35_RS5_0059,LS34,-40.7,-6.490257262,,存在,59,1811,1811,TRUE,1870
RS5_LS35_to_LS36,LS35_to_LS36_RS5_0029,LS35,-0.9836,-0.495916563,,存在,29,1870,1870,TRUE,1899
RS5_LS35_to_LS36,LS35_to_LS36_RS5_0060,LS35,43.57,6.686920236,,存在,60,1870,1870,TRUE,1930
RS5_LS35_to_LS36,LS35_to_LS36_RS5_0061,LS35,43.86,6.683574157,,存在,61,1870,1870,TRUE,1931
RS5_LS36_to_LS37,LS36_to_LS37_RS5_0028,LS36,-0.4497,0.680585554,,存在,28,1931,1931,TRUE,1959
RS5_LS36_to_LS37,LS36_to_LS37_RS5_0059,LS36,-40.31,-6.549061347,,存在,59,1931,1931,TRUE,1990
RS5_LS37_to_LS38,LS37_to_LS38_RS5_0024,LS37,-0.4961,-0.694963806,,存在,24,1990,1990,TRUE,2014
RS5_LS37_to_LS38,LS37_to_LS38_RS5_0055,LS37,44.51,7.772687665,,存在,55,1990,1990,TRUE,2045
RS5_LS38_to_LS39,LS38_to_LS39_RS5_0028,LS38,0.6852,0.933573764,,存在,28,2045,2045,TRUE,2073
RS5_LS38_to_LS39,LS38_to_LS39_RS5_0060,LS38,-41.49,-7.827844565,,存在,60,2045,2045,TRUE,2105
RS5_LS39_to_LS40,LS39_to_LS40_RS5_0029,LS39,-0.2167,-0.7444216,,存在,29,2105,2105,TRUE,2134
RS5_LS39_to_LS40,LS39_to_LS40_RS5_0061,LS39,44.14,8.027059074,,存在,61,2105,2105,TRUE,2166
RS5_LS40_to_LS41,LS40_to_LS41_RS5_0027,LS40,0.0349,0.918411101,,存在,27,2166,2166,TRUE,2193
RS5_LS40_to_LS41,LS40_to_LS41_RS5_0059,LS40,-41.13,-7.873725518,,存在,59,2166,2166,TRUE,2225
RS5_LS41_to_LS42,LS41_to_LS42_RS5_0026,LS41,0.9198,-0.670754338,,存在,26,2225,2225,TRUE,2251
RS5_LS41_to_LS42,LS41_to_LS42_RS5_0061,LS41,44.94,10.46446218,,存在,61,2225,2225,TRUE,2286
RS5_LS42_to_LS43,LS42_to_LS43_RS5_0031,LS42,-0.1474,1.235039445,,存在,31,2286,2286,TRUE,2317
RS5_LS42_to_LS43,LS42_to_LS43_RS5_0068,LS42,-42.32,-10.53341198,,存在,68,2286,2286,TRUE,2354
RS5_LS43_to_LS44,LS43_to_LS44_RS5_0033,LS43,0.4227,-0.727339306,,存在,33,2354,2354,TRUE,2387
RS5_LS43_to_LS44,LS43_to_LS44_RS5_0069,LS43,44.35,10.78670045,,存在,69,2354,2354,TRUE,2423
RS5_LS43_to_LS44,LS43_to_LS44_RS5_0070,LS43,44.5,10.77364321,,存在,70,2354,2354,TRUE,2424
RS5_LS44_to_LS45,LS44_to_LS45_RS5_0031,LS44,0.6885,1.390526182,,存在,31,2424,2424,TRUE,2455
RS5_LS44_to_LS45,LS44_to_LS45_RS5_0068,LS44,-41.9,-10.38367942,,存在,68,2424,2424,TRUE,2492
RS5_LS44_to_LS45,LS44_to_LS45_RS5_0069,LS44,-41.6,-10.71266698,,存在,69,2424,2424,TRUE,2493
RS5_LS45_to_LS46,LS45_to_LS46_RS5_0027,LS45,0.813,-0.845888294,,存在,27,2493,2493,TRUE,2520
RS5_LS45_to_LS46,LS45_to_LS46_RS5_0062,LS45,45.11,13.25792718,,存在,62,2493,2493,TRUE,2555
RS5_LS46_to_LS47,LS46_to_LS47_RS5_0032,LS46,-1.173,1.492810687,,存在,32,2555,2555,TRUE,2587
RS5_LS46_to_LS47,LS46_to_LS47_RS5_0069,LS46,-42.54,-13.3650866,,存在,69,2555,2555,TRUE,2624
RS5_LS46_to_LS47,LS46_to_LS47_RS5_0071,LS46,-41.77,-13.4210413,,存在,71,2555,2555,TRUE,2626
RS5_LS47_to_LS48,LS47_to_LS48_RS5_0033,LS47,-0.7682,-1.328927595,,存在,33,2626,2626,TRUE,2659
RS5_LS47_to_LS48,LS47_to_LS48_RS5_0069,LS47,44.6,13.19061455,,存在,69,2626,2626,TRUE,2695
RS5_LS47_to_LS48,LS47_to_LS48_RS5_0071,LS47,44.43,13.56482131,,存在,71,2626,2626,TRUE,2697
RS5_LS48_to_LS49,LS48_to_LS49_RS5_0033,LS48,0.6081,1.838820811,,存在,33,2697,2697,TRUE,2730
RS5_LS48_to_LS49,LS48_to_LS49_RS5_0071,LS48,-42.32,-13.42036651,,存在,71,2697,2697,TRUE,2768
RS5_LS48_to_LS49,LS48_to_LS49_RS5_0073,LS48,-41.44,-13.46902072,,存在,73,2697,2697,TRUE,2770
RS5_LS49_to_LS50,LS49_to_LS50_RS5_0029,LS49,0.6599,-1.496082768,,存在,29,2770,2770,TRUE,2799
RS5_LS49_to_LS50,LS49_to_LS50_RS5_0073,LS49,45.39,20.16840434,,存在,73,2770,2770,TRUE,2843
RS5_LS50_to_LS51,LS50_to_LS51_RS5_0048,LS50,-1.012,2.447327625,,存在,48,2843,2843,TRUE,2891
RS5_LS50_to_LS51,LS50_to_LS51_RS5_0083,LS50,-42.14,-14.55534692,,存在,83,2843,2843,TRUE,2926
RS5_LS50_to_LS51,LS50_to_LS51_RS5_0095,LS50,-39.94,-20.26279134,,存在,95,2843,2843,TRUE,2938
RS5_LS51_to_LS52,LS51_to_LS52_RS5_0033,LS51,-0.08906,-5.52595011,,存在,33,2938,2938,TRUE,2971
RS5_LS51_to_LS52,LS51_to_LS52_RS5_0083,LS51,44.77,19.09919804,,存在,83,2938,2938,TRUE,3021
RS5_LS51_to_LS52,LS51_to_LS52_RS5_0085,LS51,44.74,20.0695162,,存在,85,2938,2938,TRUE,3023
RS5_LS52_to_LS53,LS52_to_LS53_RS5_0038,LS52,0.987,2.862838574,,存在,38,3023,3023,TRUE,3061
RS5_LS52_to_LS53,LS52_to_LS53_RS5_0085,LS52,-40.2,-19.91993585,,存在,85,3023,3023,TRUE,3108
RS5_LS52_to_LS53,LS52_to_LS53_RS5_0086,LS52,-39.73,-20.25273299,,存在,86,3023,3023,TRUE,3109
RS5_LS53_to_LS54,LS53_to_LS54_RS5_0027,LS53,-0.2148,-5.940623405,,存在,27,3109,3109,TRUE,3136
RS5_LS53_to_LS54,LS53_to_LS54_RS5_0075,LS53,44.35,23.91882908,,存在,75,3109,3109,TRUE,3184
RS5_LS53_to_LS54,LS53_to_LS54_RS5_0079,LS53,44.16,26.49063195,,存在,79,3109,3109,TRUE,3188
RS5_LS54_to_LS55,LS54_to_LS55_RS5_0035,LS54,0.1076,7.000721178,,存在,35,3188,3188,TRUE,3223
RS5_LS54_to_LS55,LS54_to_LS55_RS5_0078,LS54,-39.34,-18.58168711,,存在,78,3188,3188,TRUE,3266
RS5_LS54_to_LS55,LS54_to_LS55_RS5_0089,LS54,-38.37,-25.17261361,,存在,89,3188,3188,TRUE,3277
RS5_LS55_to_LS56,LS55_to_LS56_RS5_0030,LS55,0.3896,-9.770462756,,存在,30,3277,3277,TRUE,3307
RS5_LS55_to_LS56,LS55_to_LS56_RS5_0080,LS55,43.85,20.8638319,,存在,80,3277,3277,TRUE,3357
RS5_LS55_to_LS56,LS55_to_LS56_RS5_0094,LS55,31.26,24.52944015,,存在,94,3277,3277,TRUE,3371
